Accession,Protein,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
QCW23626.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbf84,287,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23627.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbf84,325,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23628.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbd374,329,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23629.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbd374,302,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23635.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcf212,308,USA,USA,Melanogrammus aeglefinus,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23636.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcf212,316,USA,USA,Melanogrammus aeglefinus,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23637.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjb817,331,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23638.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjb817,309,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23639.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcg218,376,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23640.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcg218,293,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23641.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctca367,318,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23642.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctca367,310,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23643.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbh806,339,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23644.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbh806,314,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23645.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctce88,314,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23646.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctce88,330,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23647.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctca70,328,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23648.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctca70,315,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23649.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctgb66,341,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23650.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctgb66,310,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23651.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctea93,338,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23652.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctea93,300,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23653.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbe80,273,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23654.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbe80,333,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23655.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjj82,321,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23656.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjj82,325,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23657.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctda73,346,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23658.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctda73,310,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23661.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctdb7,300,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23662.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctdb7,328,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23663.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcf208,314,USA,USA,Melanogrammus aeglefinus,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23664.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcf208,330,USA,USA,Melanogrammus aeglefinus,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23665.1,hypothetical protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbi89,160,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23666.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbi89,395,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23667.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,cthh214,330,USA,USA,Melanogrammus aeglefinus,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23668.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,cthh214,300,USA,USA,Melanogrammus aeglefinus,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23669.1,putative transcription antitermination protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcb91,91,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23670.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcb91,340,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23671.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctdb242,298,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23672.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctdb242,324,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23673.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctda_5,291,USA,USA,Metazoa,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23674.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctda_5,320,USA,USA,Metazoa,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23675.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbd78,331,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23676.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbd78,308,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23683.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcd252,293,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23684.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcd252,327,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23687.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctij207,311,USA,USA,Melanogrammus aeglefinus,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23688.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctij207,313,USA,USA,Melanogrammus aeglefinus,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23689.1,putative capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcc79,312,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23690.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcc79,335,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23691.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,cted72,325,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23692.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,cted72,318,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23693.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,cthi275,308,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23694.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,cthi275,324,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23695.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjg823,333,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23696.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjg823,305,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23697.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctdb80,332,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23698.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctdb80,308,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23699.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbi78,332,USA,USA,Oncorhynchus mykiss,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23700.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbi78,311,USA,USA,Oncorhynchus mykiss,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23701.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcj747,380,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23702.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcj747,290,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23703.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjj69,316,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23704.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjj69,331,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23705.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcg277,302,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23706.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcg277,287,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23709.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctdd88,327,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23710.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctdd88,309,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23713.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjb288,271,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23714.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjb288,309,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23715.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctce205,334,USA,USA,Melanogrammus aeglefinus,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23716.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctce205,313,USA,USA,Melanogrammus aeglefinus,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23717.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctci83,308,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23718.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctci83,318,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23719.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbf8,325,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23720.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbf8,306,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23721.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcf77,300,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23722.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctcf77,324,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23723.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctha81,312,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23724.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctha81,306,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23725.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctji71,333,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23726.1,coat protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctji71,325,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23727.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjh74,336,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23728.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctjh74,305,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23729.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbb31,329,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23730.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbb31,312,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23731.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctba76,306,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23732.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctba76,327,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23733.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctgi38,319,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23734.1,putative capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctgi38,285,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23737.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbi86,264,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCW23738.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,ctbi86,303,USA,USA,,,"Tisza,M., Buck,C., Varsani,A., Pastrana,D., Welch,N., Peretti,A.",2017-06-01,2019-06-05,ssDNA
QCT85019.1,replication associated protein,Gemycircularvirus CN-GZ1,Gemycircularvirus CN-GZ1,Gemycircularvirus,Genomoviridae,,,320,China,China,Homo sapiens,oronasopharynx,"Wang,J., Li,Y., He,X., Ma,J., Hong,W., Hu,F., Zhao,L., Li,Q., Zhang,J., Zhang,C., Zhang,F.",2017-01-20,2019-05-29,ssDNA
QCT85020.1,capsid protein,Gemycircularvirus CN-GZ1,Gemycircularvirus CN-GZ1,Gemycircularvirus,Genomoviridae,,,322,China,China,Homo sapiens,oronasopharynx,"Wang,J., Li,Y., He,X., Ma,J., Hong,W., Hu,F., Zhao,L., Li,Q., Zhang,J., Zhang,C., Zhang,F.",2017-01-20,2019-05-29,ssDNA
QCS35880.1,capsid protein,Capybara genomovirus 1,Gemycircularvirus hydro1,Gemycircularvirus,Genomoviridae,,cap1_SP_603,299,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
QCS35881.1,replication-associated protein,Capybara genomovirus 1,Gemycircularvirus hydro1,Gemycircularvirus,Genomoviridae,,cap1_SP_603,338,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
QCS35882.1,capsid protein,Capybara genomovirus 2,Gemykibivirus hydro2,Gemykibivirus,Genomoviridae,,cap1_52,305,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
QCS35883.1,replication-associated protein,Capybara genomovirus 2,Gemykibivirus hydro2,Gemykibivirus,Genomoviridae,,cap1_52,319,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
QCS35884.1,capsid protein,Capybara genomovirus 2,Gemykibivirus hydro2,Gemykibivirus,Genomoviridae,,cap1_64,305,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
QCS35885.1,replication-associated protein,Capybara genomovirus 2,Gemykibivirus hydro2,Gemykibivirus,Genomoviridae,,cap1_64,319,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
QCS35886.1,capsid protein,Capybara genomovirus 3,Gemyduguivirus hydro1,Gemyduguivirus,Genomoviridae,,cap1_53,296,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
QCS35887.1,replication-associated protein,Capybara genomovirus 3,Gemyduguivirus hydro1,Gemyduguivirus,Genomoviridae,,cap1_53,319,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
QCS35888.1,capsid protein,Capybara genomovirus 4,Gemykibivirus hydro1,Gemykibivirus,Genomoviridae,,cap1_57,286,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
QCS35889.1,replication-associated protein,Capybara genomovirus 4,Gemykibivirus hydro1,Gemykibivirus,Genomoviridae,,cap1_57,318,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
QCS35890.1,capsid protein,Capybara genomovirus 5,Gemyduguivirus hydro3,Gemyduguivirus,Genomoviridae,,cap1_2730,287,Brazil,Brazil,Hydrochoerus hydrochaeris,feces,"Fontenele,R.S., Lamas,N.S., Lacorte,C., Varsani,A., Ribeiro,S.G.",2016,2019-05-26,ssDNA
